《标准日本语》 中级 上册

第1课
最後 (さいご) (1)	[名] 最后
皿 (さら) (0)	[名] 盘
盛り付ける (もりつける) (4)	[动2] 把饭菜很好地盛在器皿上
載せる (のせる) (0)	[动2] 放上
好み (このみ) (3)	[名] 爱好，喜好
のり (2)	[名] 紫菜
紅しょうが (べにしょうが) (3)	[名] 红姜
添える (そえる) (0)	[动2] 添加
それほど (0)	[词组] 那么，那样
鍋 (なべ) (1)	[名] 锅
さわる (0)	[动2] 碰
やけど (0)	[名] 烫伤
さあ (1)	[感] 好 (用于事情结束时，表示高兴)
できあがり (0)	[名] 做好
見た目 (みため) (1)	[词组] 外观
～人前 (にんまえ)	…とよい/といい
もう　少しで…そうになった/ところだった
～め	～合 (ごう)		
动词连用形			
动词的连用中止			

词汇Ⅱ
合格する (ごうかくする) (0)	[动3] 合格，及格
じゃま (0)	[名] 妨碍，干扰
震える (ふるえる) (0)	[动2] 发抖
運動会 (うんどうかい) (3)	[名] 运动会
組む (くむ) (1) (足を…)	[动1] 盘 (腿)
飛ぶ (とぶ) (0)	[动1] 飞走，刮掉
転ぶ (ころぶ) (0)	[动1] 跌倒
ぶつかる (0)	[动1] 碰撞
厚い (あつい) (0)	[形] 厚
厚め (あつめ) (0)	[名] 稍厚
多め (おおめ) (0)	[名] 稍多
深め (ふかめ) (0)	[名] 稍深
大きめ (おおきめ) (0)	[名] 稍大
小さめ (ちいさめ) (0)	[名] 稍小
大根 (だいこん) (0)	[名] 萝卜
じゃがいも (0)	[名] 土豆
白菜 (はくさい) (0)	[名] 白菜
ねぎ (1)	[名] 葱
たまねぎ (3)	[名] 洋葱
ピーマン (1)	[名] 柿子椒
キャベツ (1)	[名] 卷心菜
なす (1)	[名] 茄子
にんにく (0)	[名] 大蒜
にら (0)	[名] 韭菜
みかん (1)	[名] 桔子
バナナ (1)	[名] 香蕉
パイナップル (3)	[名] 菠萝
桃 (もも) (0)	[名] 桃
ぶどう (0)	[名] 葡萄
メロン (1)	[名] 甜瓜，网纹甜瓜
なし (2)	[名] 梨
レモン (1)	[名] 柠檬
いちご (2)	[名] 草莓


第4课
词汇Ⅰ
言葉使い (ことばづかい) (4)	[名] 措词，说法
君 (きみ) (0)	[代] 你
メニュー (1)	[名] 菜单
ほら (1)	[感] 瞧
ええと (0)	[感] 嗯
ハンバーグ (3)	[名] 汉堡牛肉饼
ライス (1)	[名] 米饭
アイスクリーム (5)	[名] 冰激凌
へえ (0)	[感] 嘿
太る (ふとる) (2)	[动1] 发胖
まあ (1)	[感] 哎呀
失礼 (しつれい) (2)	[名] 失礼，没礼貌
食べ過ぎ (たべすぎ) (0)	[名] 吃得过多
ははは	[感] 哈哈
ぼく (1)	[代] 我 （男人对同辈或后辈用）
カレーライス (4)	[名] 咖喱饭
決まり (きまり) (0)	[名] 决定，定下
話し言葉 (はなしことば) (4)	[名] 口语
現れる (あらわれる) (4)	[动2] 表现
関係 (かんけい) (0)	[名] 关系
親しい (したしい) (3)	[形] 亲密
くだける (3)	[动2] 用“くだける”的形式表示“随便的，不客气的”的意思
立場 (たちば) (3)	[名] 立场
特別 (とくべつ) (0)	[副] 特别
特有 (とくゆう) (0)	[名] 特有
逆 (ぎゃく) (0)	[名] 相反
表現 (ひょうげん) (3)	[名] 表现
主に (おもに) (1)	[副] 主要
