《标准日本语》 中级 下册

第21课
词汇Ⅰ
つかむ (2)	[动1] 抓住
作戦勝ち (さくせんがち) (0)	[名] 作战获胜
夫人 (ふじん) (0)	[名] 夫人
ごめんくださいませ (8)	[寒暄] 对不起，家里有人吗？
奥様 (おくさま) (1)	[名] 尊夫人，太太
主人 (しゅじん) (1)	[名] 丈夫
こちらこそ (4)	[词组] 哪儿的话
いえ (2)	[寒暄] 不，不是
つまらない (3)	[形] 不值钱
皆様 (みなさま) (2)	[名] 大家，诸位
恐れ入ります (おそれいります) (2)	[寒暄] 实在不好意思
おかまいなく (5)	[寒暄] 请别客气
よろしくお伝えください (よろしくおつたえください) (11)	[寒暄] 请代为致意
ごめんください (6)	[寒暄] 对不起，失礼了
キリスト教 (キリストきょう) (0)	[专] 基督教
聖バレンタインデー (せいバレンタインデー) (8)	[专] 圣范伦泰节
～はもとより…	～にしろ～にしろ，…	～系 (けい)
…と言えばそれまでだが，… (といえばそれまでだが)	
…というところだ	～類 (るい)	
一向に…ない (いっこうに…ない)	…とばかりに，…	…ませ

词汇Ⅱ
平日 (へいじつ) (0)	[名] 平日，平素
使用する (しようする) (0)	[动3] 使用
本人 (ほんにん) (1)	[名] 本人
しかる (0)	[动1] 责备，斥责
飛び込む (とびこむ) (3)	[动1] 跳入
追い返す (おいかえる) (3)	[动1] 逐回，拒绝
高級品 (こうきゅうひん) (0)	[名] 高档货
チャンス (1)	[名] 机会
開始する (かいしする) (0)	[动3] 开始
全員 (ぜんいん) (0)	[名] 全体人员
アイデア (1)	[名] 想法
合う (あう) (1)	[动1] 相同，一致
仲良くする (なかよくする) (1)	[动3] 要好
原因 (げんいん) (0)	[名] 原因
おそらく (2)	[副] 恐怕，大概
不注意 (ふちゅうい) (2)	[名] 不小心
あれほど (0)	[词组] 那样，那么
不始末 (ふしまつ) (2)	[名] 不注意
役所 (やくしょ) (3)	[名] 政府机关
警察 (けいさつ) (0)	[名] 警察
恥をかく (はじをかく) (2)+(1)	[惯用] 出丑，丢人
けっこうだ (1)	[形动] 很好
ちょうだいする (0)	[动3] 领受
ようこそ (1)	[寒暄] 欢迎
ほんの (0)	[连体] 少许，一点点
おやすみ (0)	[寒暄] 晚安，请休息吧
さようなら (5)	[寒暄] 再见
じゃあね (1)	[寒暄] 再见
じゃまた (1)	[寒暄] 再见
バイバイ (1)	[寒暄] 再见


第23课
词汇Ⅰ
費やす (ついやす) (3)	[动1] 耗费，用掉
費用 (ひよう) (1)	[名] 经费，开支
国民総生産 (こくみんそうせいさん) (7)	[名] 国民生产总值
３兆 (さんちょう) (1)	[名] 3兆
莫大だ (ばくだいだ) (0)	[形动] 巨大，莫大
コマーシャル (2)	[名] 商业广告
看板 (かんばん) (0)	[名] 广告牌，招牌
ポスター (1)	[名] 招贴画，广告画
回り (まわり) (0)	[名] 周围，四周
次々 (つぎつぎ) (2)	[名] 接二连三
用いる (もちいる) (3)	[动2] 使用，用
だが (1)	[接续] 但是，然而
かしげる (3)	[动2] 歪，倾斜
首をかしげる (くびをかしげる) (0)+(3)	[惯用] 觉得奇怪，纳闷儿
目にする (めにする) (1)+(0)	[惯用] 看，看到
おやっ (0)	[感] 哎，哎呀
印象 (いんしょう) (0)	[名] 印象
そそる (0)	[动1] 引起，唤起
興味をそそる (きょうみをそそる) (1)+(0)	[惯用] 令人感兴趣
注目する (ちゅうもくする) (0)	[动3] 注目
登場する (とうじょうする) (0)	[动3] 登场，出台
さらう (0)	[动1] 赢得
話題をさらう (さだいをさらう) (0)+(0)	[惯用] 垄断了话题
大胆だ (だいたんだ) (3)	[形动] 大胆
奇抜だ (きばつだ) (0)	[形动] 新颖，奇特
印象づける (いんしょうづける) (6)	[动2] 给人以深刻印象
ちなみに (0)	[接续] 顺便，附带
とうてい (0)	[副] 无论如何也
はやる (2)	[动1] 流行，时兴
暴力 (ぼうりょく) (1)	[名] 暴力
追放 (ついほう) (0)	[名] 放逐
呼びかけ (よびかけ) (0)	[名] 号召，呼吁
金銭的だ (きんせんてきだ) (0)	[形动] 金钱上的
利益 (りえき) (1)	[名] 利益
結び付く (むすびつく) (4)	[动1] 有关联
無関心 (むかんしん) (2)	[名] 不关心
あれ (0)	[感] 呀，哎呀
パロディー (1)	[名] 讽刺性的模拟作品
座席 (ざせき) (0)	[名] 座位
独り占めする (ひとりじめする) (0)	[动3] 独占
譲り合う (ゆずりあう) (4)	[动1] 互让
ふう (1)	[名] 样子，状态
まあ (1)	[感] 嗯
振り回す (ふりまわす) (4)	[动1] 滥用，随便使用
活力 (かつりょく) (2)	[名] 活力
独裁者 (どくさいしゃ) (3)	[专] 独裁者
チャップリン (1)	[专] 卓别林
～兆 (ちょう)	～をはじめとして，…	～だらけ
～こそ	…までもない	とうてい…ない	…からには，…
～につけ	…ないでもない	～のは確かだ (のはたしかだ)

