《标准日本语》 初级 下册

第26课
暮らす (くらす) (0)	[动1] 生活，度日
そのため (4)	[词组] 因此
屋根 (やね) (1)	[名] 屋顶，房顶
道路 (どうろ) (1)	[名] 道路
取り除く (とりのぞく) (0)	[动1] 清除
なかには (1)	[词组] 其中
雇う (やとう) (2)	[动1] 雇
下ろす (おろす) (2)	[动1] 卸下，落下
ですから (1)	[接续] 所以
慣れる (なれる) (2)	[动2] 习惯
混乱する (こんらんする) (0)	[动3] 混乱
止まる (とまる) (0)	[动1] 停止，停驶
事故 (じこ) (1)	[名] 事故
起こす (おこす) (2)	[动1] 发生，引起
おや (0)	[感] 哎！
たまに (0)	[副] 偶尔
閉鎖 (へいさ) (0)	[名] 封闭，关闭
つぶれる (0)	[动2] 坏，压坏
作物 (さくもつ) (2)	[名] 庄稼，作物
被害 (ひがい) (1)	[名] 受害，受损失
めったに (1)	[副] 很少
経験 (けいけん) (0)	[名] 经历，经验
雪国 (ゆきぐに) (2)	[名] 多雪地区
東北 (とうほく) (0)	[专] 东北 (指日本本州以北的地区)
…ても	～にかけて		

词汇Ⅱ
東 (ひがし) (0)	[名] 东
西 (にし) (0)	[名] 西
治る (なおる) (2)	[动1] 治好，痊愈
スイッチ (0)	[名] 开关
入れる (いれる) (0)	[动2] 插入
機械 (きかい) (0)	[名] 机械，机器
動く (うごく) (2)	[动1] 转动
席 (せき) (1)	[名] 座位
信号 (しんごう) (0)	[名] 信号，红绿灯
曲がる (まがる) (0)	[动1] 拐弯
まっすぐ (3)	[副] 一直
橋 (はし) (2)	[名] 桥
渡る (わたる) (0)	[动1] 过，渡
ときどき (0)	[副] 有时，时常
あいさつ (1)	[名] 寒暄
外 (そと) (1)	[名] 外面
洋服 (ようふく) (0)	[名] 西服
本州 (ほんしゅう) (1)	[专] 本州
四国 (しこく) (2)	[专] 四国
九州 (きゅうしゅう) (1)	[专] 九州
旭川 (あさひかわ) (3)	[专] 旭川 (地名)
札幌 (さっぽろ) (0)	[专] 扎幌 (地名)
仙台 (せんだい) (1)	[专] 仙台 (地名)
新潟 (にいがた) (0)	[专] 新泻 (地名)
金沢 (かなざわ) (2)	[专] 金泽 (地名)
川崎 (かわさき) (0)	[专] 川崎 (地名)
横浜 (よこはま) (0)	[专] 横滨 (地名)
名古屋 (なごや) (1)	[专] 名古屋 (地名)
大阪 (おおさか) (0)	[专] 大阪 (地名)
神戸 (こうべ) (1)	[专] 神户 (地名)
松江 (まつえ) (0)	[专] 松江 (地名)
広島 (ひろしま) (0)	[专] 广岛 (地名)
高松 (たかまつ) (2)	[专] 高松 (地名)
松山 (まつやま) (2)	[专] 松山 (地名)
北九州 (きたきゅうしゅう) (3)	[专] 北九州 (地名)
福岡 (ふくおか) (2)	[专] 福冈 (地名)
長崎 (ながさき) (2)	[专] 长崎 (地名)
鹿児島 (かごしま) (0)	[专] 鹿儿岛 (地名)
那覇 (なは) (1)	[专] 那霸 (地名)


第31课
词汇Ⅰ
元旦 (がんたん) (0)	[名] 元旦
初もうで (はつもうで) (3)	[名] (新年) 初次参拜
のんびり (3)	[副] 悠闲，舒坦
親戚 (しんせき) (0)	[名] 亲戚
集まる (あつまる) (3)	[动1] 聚集，聚会
様子 (ようす) (0)	[名] 样子，情况
お正月 (おしょうがつ) (5)	[名] 新年，过年
新暦 (しんれき) (0)	[名] 阳历，公历
祝う (いわう) (2)	[动1] 庆祝，祝贺
大みそか (おおみそか) (3)	[名] 除夕，大年三十
除夜の鐘 (じょやのかね) (1)+(3)	[名] 除夕的钟声
鳴る (なる) (0)	[动1] 鸣，响
鐘 (かね) (0)	[名] 钟
音 (ね) (0)	[名] 声，声音
聞こえる (きこえる) (0)	[动2] 听得见
そうして (0)	[接续] 于是，这样
健康 (けんこう) (0)	[名] 健康
幸福 (こうふく) (0)	[名] 幸福
お祈りする (おいのりする) (0)	[动3] 祈祷，祝福
ところが (3)	[接续] 可是
ひく (0)	[动1] (風邪をひく) 感冒
あけましておめでとうございます (3)+(9)	[寒暄] 恭贺新禧，新年好
新年 (しんねん) (1)	[名] 新年
人出 (ひとで) (0)	[名] 外出的人
着物 (きもの) (0)	[名] 和服
女性 (じょせい) (0)	[名] 女性，妇女
姿 (すがた) (1)	[名] 姿态，装束，身影，样子
見える (みえる) (2)	[动2] 看得见
祈る (いのる) (2)	[动2] 祈祷，祝福
旧暦 (きゅうれき) (0)	[名] 阴历，农历，夏历
春節 (しゅんせつ) (0)	[名] 春节
あきらめる (4)	[动2] 算了，作罢
残念だ (ざんねんだ) (3)	[形动] 遗憾，可惜
…つもり	…そう		

词汇Ⅱ
綱 (つな) (2)	[名] 绳子，缆绳
注意 (ちゅうい) (1)	[名] 注意
声 (こえ) (1)	[名] 声音
教科書 (きょうかしょ) (3)	[名] 教科书，教材
昔 (むかし) (0)	[名] 从前，以前
アジア (1)	[专] 亚洲
アフリカ (0)	[专] 非洲
ヨーロッパ (3)	[专] 欧洲
イギリス (0)	[专] 英国
イタリア (0)	[专] 意大利
カナダ (1)	[专] 加拿大
スイス (1)	[专] 瑞士
ソ連 (ソれん) (1)	[专] 苏联
ドイツ (1)	[专] 德国
オーストラリア (5)	[专] 澳大利亚
インド (1)	[专] 印度
インドネシア (4)	[专] 印度尼西亚
タイ (1)	[专] 泰国
フィリピン (1)	[专] 菲律宾
オーストリア (4)	[专] 奥地利
ブラジル (0)	[专] 巴西


第32课
词汇Ⅰ
窓 (まど) (1)	[名] 窗户
開く (あく) (0)	[动1] 开，打开
年賀状 (ねんがじょう) (3)	[名] 贺年片
門松 (かどまつ) (2)	[名] 门松 (过年时门前装饰的松枝)
飾る (かざる) (0)	[动1] 装饰，修饰，摆设
鏡餅 (かがみもち) (3)	[名] 圆形年糕
表 (おもて) (3)	[名] 外面，正面
凧上げ (たこあげ) (3)	[名] 放风筝
羽根つき (はねつき) (2)	[名] 板羽球
なかなか (0)	[副] 不容易
配達する (はいたつする) (0)	[动3] 邮递，投递
郵便 (ゆうびん) (0)	[名] 邮件，邮政
市 (し) (1)	[名] 市
武蔵野 (むさしの) (0)	[专] 武藏野 (地名)
健一 (けんいち) (0)	[专] 健一 (男人名)
昭和 (しょうわ) (0)	[专] 昭和 (年号)
…てある	…てみる	～丁目 (ちょうめ)
～番地 (ばんち)	～様 (さま)	～区 (く)	～号 (ごう)

词汇Ⅱ
変わる (かわる) (0)	[动1] 变化
上げる (あげる) (0)	[动2] 提高
消える (きえる) (0)	[动2] 消失
増やす (ふやす) (2)	[动1] 增加
下りる (おりる) (2)	[动2] 下
鳴らす (ならす) (0)	[动1] 打响，出声
届ける (とどける) (3)	[动2] 送到
進める (すすめる) (0)	[动2] 前进，进行，开展
閉まる (しまる) (2)	[动1] 关闭
閉める (しめる) (2)	[动2] 关闭
伝える (つたえる) (0)	[动2] 传，传达
下げる (さげる) (2)	[动2] 降低
並ぶ (ならぶ) (0)	[动1] 排，排列
止める (とめる) (0)	[动2] 停止
はる (0)	[动1] 张贴
本棚 (ほんだな) (1)	[名] 书架
ポケット (2)	[名] 衣兜，口袋


第33课
词汇Ⅰ
餅 (もち) (0)	[名] 年糕，糯米糕
それぞれ (2)	[名] 各自
家庭 (かてい) (0)	[名] 家庭
なくなる (0)	[动1] 精光，没有了
そろう (2)	[动1] 齐全
囲む (かこむ) (0)	[动1] 围
和やかだ (なごやかだ) (2)	[形动] 和睦，友好
アナウンサー (3)	[名] 播音员
懐かしい (なつかしい) (4)	[形] 怀念
思い出す (おもいだす) (4)	[动1] 想起
